promo_title,promo_start_dt,promo_end_dt,banner_title,banner_desc,promo_contents,promo_catgs,banner_link
"푸드의 힘, 🥕스킨푸드🥕",23.07.10,23.07.16,슈퍼브랜드위크,"

슈퍼브랜드위크
단 7일,스킨푸드최대 혜택
스킨푸드 ~50%, 쿠폰


","[' SUPER BRAND WEEK SKINFOOD 1957 7.10 - 7.16 ', ' 단 7일! 스킨푸드 역대급 혜택 혜택 1 매일 00시, 선착순 쿠폰 혜택 2 오늘만 슈퍼 할인! 오늘의 특가 혜택 3 매일 12시, 선착순 특가 혜택 4 UP TO 50% 7일 특가 혜택 5 경품 가득 이벤트 ', ' 푸드의 힘 SKINFOOD 1957      ""먹지 마세요, 피부에 양보하세요.""      스키푸드는 \'먹어서 좋은 음식은 피부에도 좋다\'라는      모토와 함께 건강한 \'푸드\'의 영양을 그대로 담아냈습니다.     ', ' BENEFIT 1 선착순, 매일 오전 00시 최대 5천원 추가 할인 스킨푸드 10% 장바구니 쿠폰 APP 2.5만원 이상 구매 시 최대 5,000원 할인 APP에서 확인해주세요 ', ' BENEFIT 2~4 APP에서만 만날 수 있는 역대급 혜택! 혜택 1 오늘만 슈퍼할인! 오늘의 특가 혜택 2 12시 오픈런! 선착순 특가 혜택 3 최대 50% 7일 특가까지! ', ' BENEFIT 5 스킨푸드 이벤트       나에게 딱 맞는 스킨푸드패드 찾기!       땡큐푸드박스 랜덤 100명 추첨 제공       도전! 스킨푸드 구매왕 스킨푸드 구매 후 응모 시, 실 결제 금액의 10배 리워드 혜택!(최대 50만원) 15명 추첨 APP에서 확인해주세요 APP에서 모든 혜택을 만나보세요! ', ' APP에서 모든 혜택을 만나보세요! ']","['전체', '오늘의 특가👀', '🧡스킨푸드 최대 50% 할인🧡', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103030004&trackingCd=Home_Planshop1_1_PROD
매일매일 습관처럼 올리브영 이너뷰티,23.07.01,23.07.31,올리브영 이너뷰티,"

올리브영 이너뷰티
속부터 채우는건강함을함께 나눠요
기프트카드 이벤트 응모하기


","[' INNER BEAUTIFUL TIME 올리브영 이너뷰티 ', ' BENEFIT 이너뷰티 최대 50% 할인 공유하면 올리브영 기프트 카드 당첨 응모하면 반얀트리 스파 이용권 당첨 모든 혜택을 지금 바로 APP에서 만나보세요! ', ' [제조원 / 판매원] 콜레올로지 컷팅젤리, 건강기능식품유통전문판매원: 주식회사 어댑트 / 건강기능식품제조원: 코스맥스바이오(주), 콜레올로지 컷팅젤리는 건강기능식품입니다, 적절한 운동과 식이조절을 함께 병행하면 더욱 좋습니다. 바이탈뷰티 슈퍼콜라겐 7days, 제조원:(주)아모레퍼시픽 / 판매원:(주)아모레퍼시픽 니드인 비움효소, 제조원:(주)한국코스모 / 판매원:(주)내츄럴엔도텍 비브리 꼬박꼬밥, 제조원:(주)리빙라이프 / 판매원:(주)비브리브 티젠 콤부차, 제조원:(주)티젠 농업회사 법인 / 판매원:(주)티젠 농업회사 법인 ']","['전체', '속부터 가벼운👀', '속부터 빛나는✨', '속부터 가뿐한💖', '맛있는 식단관리🥙', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103190002&trackingCd=Home_Planshop1_2_PROD
7월 올영pick,23.07.01,23.07.31,올영p!ck,"

올영p!ck
올리브영이p!ck한이 달의 브랜드
베스트 아이템 한정특가


",[' 올영p!ck 7월 '],"['전체', '여름 피하지 말고 즐겨🌞', '다채로운 색조 에디션🧡', '내 피부에도 휴식을🌿', '참을 수 없는 썸머Pick💥', '수분에 풍덩💧', '컬러 리프레시💙', '산뜻하게 리프레시🌳', '속부터 아름다워지는 중💜', '트루 허브 트루 어스💚', '핫썸머맨즈케어👨', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102910008&trackingCd=Home_Planshop1_3_PROD
"수분진정 애프터 왁싱케어, 노우라이",23.07.10,23.07.16,노우라이,"

노우라이
왁싱 후엔 진정 케어가중요해요
5%장바구니 쿠폰, 할인 


","['07.10-07.16 세상에 없던 센슈얼 웰니스 케어 노우라이 런칭! 단, 7일! 런칭 기념 할인과 선물까지']","['전체', '애프터 왁싱케어 3-STEP ', '청결제로 클렌징과 케어를 동시에', '매끄럽고 촉촉한 사랑을 위한 젤&오일']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102860067&trackingCd=Home_Planshop1_4_PROD
💙라운드랩 썸머 필수템💙,23.07.10,23.07.16,라운드랩,"

라운드랩
자외선 차단과 피부 진정을하나로
최대 55%할인, 1+1


",[' 라운드랩 썸머 필수템 페스티벌 #완벽여름준비 #1+1 #전원증정'],"['전체', '수분썬은 라운드랩🌞', '촉촉산뜻 스킨케어💧', '여름철 피부진정❄️']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102740049&trackingCd=Home_Planshop1_5_PROD
형원 PICK 웰라쥬 백점수분듀오!,23.07.10,23.07.16,웰라쥬,"

웰라쥬
대용량으로 즐기는 저자극히알루론산
최대 55%할인


","["" 형원's PICK! 속건조 백점수분 궁합템 #최대 55% 할인""]","['전체', '백점수분 시너지💦', '함께 쓰면 좋아요!', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102700080&trackingCd=Home_Planshop1_6_PROD
💕롬앤X산리오캐릭터즈🖤,23.07.10,23.07.16,롬앤,"

롬앤
산리오캐릭터즈로 더사랑스러워졌어요
롬앤X산리오캐릭터즈 ~23%


","[' rom&nd Samni 사랑스럽거나, 앙큼하거나 어떤 나라도 좋아 Whatever girls!']","['전체', '롬앤 BEST 립 만나보기💕 ', '롬앤 BEST 아이 만나보기🖤', '롬앤 BEST 베이스 만나보기💕 ', '롬앤 BEST 네일 만나보기🖤', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102750149&trackingCd=Home_Planshop1_7_PROD
"습기 없는 생공적 하루, 생활공작소",23.07.10,23.07.16,생활공작소,"

생활공작소
날씨는 습해도OOTD는 뽀송하게
최대 19%할인


",[' 기분좋은 일상에 더해줄 착한 성분 생활공작소 #제습제 #청소용품 #생활용품'],"['전체', 'BEST💗', '장마필수템 제습제💦', '더 깨끗하게, 생활세제💜', '뽀득뽀득 세탁세제💜', ""주방/생활 필수템'💜"", '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102840114&trackingCd=Home_Planshop1_8_PROD
"믿고쓰는 순한 일리윤, 클렌징까지",23.07.10,23.07.17,일리윤,"

일리윤
여름날 클렌징1차면충분해요
최대 20%할인


",['순하지만 강력한 일리윤 클렌징 기획전 #짐승용량 #단독기획 #할인'],"['전체', '일리윤 클렌징 신상 출시!', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102730062&trackingCd=Home_Planshop1_9_PROD
헤라 NEW 피팅 글로우 틴트💗,23.07.10,23.07.17,헤라,"

헤라
빈틈없이반짝이는여름 컬러
신상 출시 기념 10%할인


",[' HERA NEW 센슈얼 피팅 글로우 틴트 출시 기념 기획전'],"['전체', '헤라 NEW 피팅 글로우 틴트 출시💗', '제니 PICK! 헤라 🤍BEST🤍', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102780073&trackingCd=Home_Planshop1_10_PROD
